,player_name,B,S,ball,called_strike,missed_call_dre_B,missed_call_dre_S,batter_team
261,Jeimer Candelario-WSH,33.0,25.0,585.0,250.0,-4.014000000000001,2.694,WSH
262,Jeremy Pena-HOU,25.0,26.0,523.0,216.0,-3.003,3.8320000000000003,HOU
263,Jesse Winker-MIL,22.0,13.0,310.0,144.0,-2.487,1.882,MIL
264,Jesus Aguilar-OAK,3.0,3.0,128.0,102.0,-0.256,0.589,OAK
265,Jesus Sanchez-MIA,21.0,20.0,358.0,155.0,-3.3850000000000007,3.0530000000000004,MIA
266,Jeter Downs-WSH,0.0,1.0,13.0,3.0,0.0,0.527,WSH
267,Ji Hwan Bae-PIT,27.0,21.0,300.0,147.0,-2.952,1.8689999999999998,PIT
268,Ji-Man Choi-PIT,15.0,4.0,98.0,54.0,-2.1119999999999997,0.20900000000000005,PIT
269,Ji-Man Choi-SD,1.0,0.0,32.0,10.0,-0.099,0.0,SD
270,Jo Adell-LAA,4.0,3.0,18.0,14.0,-0.56,0.42800000000000005,LAA
271,Joc Pederson-SF,23.0,19.0,446.0,191.0,-2.6710000000000003,4.2669999999999995,SF
272,Joey Bart-SF,8.0,4.0,95.0,53.0,-0.561,0.8160000000000001,SF
273,Joey Gallo-MIN,13.0,28.0,490.0,151.0,-1.094,3.780000000000001,MIN
274,Joey Meneses-WSH,48.0,25.0,583.0,343.0,-7.093,3.2810000000000006,WSH
275,Joey Ortiz-BAL,4.0,3.0,25.0,27.0,-0.502,0.36000000000000004,BAL
276,Joey Votto-CIN,5.0,15.0,247.0,79.0,-0.57,2.6919999999999997,CIN
277,Joey Wendle-MIA,20.0,4.0,279.0,180.0,-2.395,0.325,MIA
278,Joey Wiemer-MIL,36.0,28.0,477.0,243.0,-6.628,3.2640000000000007,MIL
279,Johan Rojas-PHI,4.0,3.0,56.0,44.0,-0.6990000000000001,0.21700000000000003,PHI
280,Jon Berti-MIA,25.0,25.0,410.0,222.0,-5.055,3.1630000000000003,MIA
281,Jonah Bride-OAK,5.0,12.0,110.0,85.0,-0.651,1.898,OAK
282,Jonah Heim-TEX,23.0,25.0,463.0,183.0,-2.6400000000000006,3.9869999999999997,TEX
283,Jonathan Arauz-NYM,2.0,2.0,31.0,25.0,-0.765,1.217,NYM
284,Jonathan Davis-MIA,10.0,6.0,146.0,80.0,-1.635,0.583,MIA
285,Jonathan India-CIN,41.0,45.0,665.0,396.0,-5.887,6.135999999999999,CIN
